CODDETSES,CODSES,ASISTENCIA,PARTICIPACION,CASO,CONTROL,EXAMPARC,EXAMFINAL,TRABAJO,PROMEDIOS,CODASIG,CASO2
"1","2","2","10","0","0","0","0","0","0","10","0"
"2","2","1","10","0","0","0","0","0","0","4","0"
"3","2","0","10","0","0","0","0","0","0","16","0"
"4","2","1","10","0","0","0","0","0","0","11","0"
"5","2","2","10","0","0","0","0","0","0","7","0"
"6","2","0","0","0","0","0","0","0","0","9","0"
"8","2","0","0","0","0","0","0","0","0","13","0"
"9","2","0","10","0","0","0","0","0","0","12","0"
"10","3","0","14","0","0","0","0","0","0","10","0"
"11","3","0","18","0","0","0","0","0","0","4","0"
"12","3","0","14","0","0","0","0","0","0","16","0"
"13","3","0","17","0","0","0","0","0","0","11","0"
"14","3","0","13","0","0","0","0","0","0","7","0"
"15","3","0","17","0","0","0","0","0","0","9","0"
"16","3","0","20","0","0","0","0","0","0","14","0"
"17","3","0","15","0","0","0","0","0","0","13","0"
"18","3","0","15","0","0","0","0","0","0","12","0"
"19","4","1","10","0","0","0","0","0","0","10","0"
"20","4","1","10","0","0","0","0","0","0","4","0"
"21","4","1","10","0","0","0","0","0","0","16","0"
"22","4","1","10","0","0","0","0","0","0","11","0"
"23","4","1","10","0","0","0","0","0","0","7","0"
"24","4","1","10","0","0","0","0","0","0","9","0"
"25","4","0","0","0","0","0","0","0","0","14","0"
"26","4","1","10","0","0","0","0","0","0","13","0"
"27","4","0","10","0","0","0","0","0","0","12","0"
"28","5","1","0","0","0","0","0","0","0","10","0"
"29","5","1","14","0","0","0","0","0","0","4","0"
"30","5","1","14","0","0","0","0","0","0","16","0"
"31","5","1","0","0","0","0","0","0","0","11","0"
"32","5","1","14","0","0","0","0","0","0","7","0"
"33","5","1","0","0","0","0","0","0","0","9","0"
"34","5","0","14","0","0","0","0","0","0","14","0"
"35","5","1","0","0","0","0","0","0","0","13","0"
"36","5","0","0","0","0","0","0","0","0","12","0"
"37","6","1","0","0","0","0","0","0","0","10","0"
"38","6","1","0","0","0","0","0","0","0","4","0"
"39","6","1","0","0","0","0","0","0","0","11","0"
"40","6","1","0","0","0","0","0","0","0","7","0"
"41","6","1","0","0","0","0","0","0","0","9","0"
"42","6","0","0","0","0","0","0","0","0","14","0"
"43","6","1","0","0","0","0","0","0","0","13","0"
"44","6","0","0","0","0","0","0","0","0","12","0"
"45","24","1","0","0","0","0","0","0","0","10","0"
"46","24","1","0","0","0","0","0","0","0","4","0"
"47","24","1","0","0","0","0","0","0","0","11","0"
"48","24","1","0","0","0","0","0","0","0","7","0"
"49","24","0","0","0","0","0","0","0","0","9","0"
"50","24","0","12","0","0","0","0","0","0","14","0"
"51","24","1","0","0","0","0","0","0","0","13","0"
"52","24","0","0","0","0","0","0","0","0","12","0"
"53","30","1","10","0","0","0","0","0","0","10","0"
"54","30","1","10","0","0","0","0","0","0","4","0"
"55","30","1","10","0","0","0","0","0","0","11","0"
"56","30","1","10","0","0","0","0","0","0","7","0"
"57","30","1","10","0","0","0","0","0","0","9","0"
"58","30","1","10","0","0","0","0","0","0","14","0"
"59","30","1","10","0","0","0","0","0","0","13","0"
"60","30","1","10","0","0","0","0","0","0","12","0"
"61","15","1","20","0","0","0","0","0","0","10","0"
"62","15","1","20","0","0","0","0","0","0","4","0"
"63","15","1","20","0","0","0","0","0","0","11","0"
"64","15","1","20","0","0","0","0","0","0","7","0"
"65","15","0","20","0","0","0","0","0","0","9","0"
"66","15","1","20","0","0","0","0","0","0","14","0"
"67","15","1","20","0","0","0","0","0","0","13","0"
"68","15","0","20","0","0","0","0","0","0","12","0"
"69","34","1","10","0","0","0","0","0","0","10","0"
"70","34","1","10","0","0","0","0","0","0","4","0"
"71","34","1","10","0","0","0","0","0","0","11","0"
"72","34","1","10","0","0","0","0","0","0","7","0"
"73","34","1","10","0","0","0","0","0","0","9","0"
"74","34","1","10","0","0","0","0","0","0","14","0"
"75","34","1","10","0","0","0","0","0","0","13","0"
"76","34","0","10","0","0","0","0","0","0","12","0"
"77","35","1","12","0","0","0","0","0","0","10","0"
"78","35","1","12","0","0","0","0","0","0","4","0"
"79","35","1","8","0","0","0","0","0","0","11","0"
"80","35","1","13","0","0","0","0","0","0","7","0"
"81","35","1","5","0","0","0","0","0","0","9","0"
"82","35","1","5","0","0","0","0","0","0","14","0"
"83","35","1","9","0","0","0","0","0","0","13","0"
"84","35","0","12","0","0","0","0","0","0","12","0"
"85","33","1","5","0","0","0","0","0","0","10","0"
"86","33","1","5","0","0","0","0","0","0","4","0"
"87","33","1","10","0","0","0","0","0","0","11","0"
"88","33","1","10","0","0","0","0","0","0","7","0"
"89","33","1","5","0","0","0","0","0","0","9","0"
"90","33","1","5","0","0","0","0","0","0","14","0"
"91","33","1","9","0","0","0","0","0","0","13","0"
"92","33","0","5","0","0","0","0","0","0","12","0"
"93","32","1","0","0","0","0","0","0","0","10","0"
"94","32","1","0","0","0","0","0","0","0","4","0"
"95","32","1","10","0","0","0","0","0","0","11","0"
"96","32","1","10","0","0","0","0","0","0","7","0"
"97","32","1","0","0","0","0","0","0","0","9","0"
"98","32","1","0","0","0","0","0","0","0","14","0"
"99","32","1","14","0","0","0","0","0","0","13","0"
"100","32","1","0","0","0","0","0","0","0","12","0"
"101","31","1","0","0","0","0","10","0","0","10","0"
"102","31","1","0","0","0","0","0","0","0","4","0"
"103","31","1","0","0","0","0","10","0","0","11","0"
"104","31","1","0","0","0","0","10","0","0","7","0"
"105","31","1","0","0","0","0","10","0","0","9","0"
"106","31","1","0","0","0","0","0","0","0","14","0"
"107","31","1","0","0","0","0","10","0","0","13","0"
"108","31","1","0","0","0","0","10","0","0","12","0"
"109","19","1","0","0","0","20","0","0","0","10","0"
"110","19","1","0","0","0","20","0","0","0","4","0"
"111","19","1","0","0","0","20","0","0","0","11","0"
"112","19","1","0","0","0","20","0","0","0","7","0"
"113","19","0","0","0","0","20","0","0","0","9","0"
"114","19","0","0","0","0","20","0","0","0","14","0"
"115","19","1","0","0","0","20","0","0","0","13","0"
"116","19","0","0","0","0","20","0","0","0","12","0"
"117","25","1","0","0","0","0","0","0","0","10","0"
"118","25","1","0","0","0","0","0","0","0","4","0"
"119","25","1","0","0","0","0","0","0","0","11","0"
"120","25","1","0","0","0","0","0","0","0","7","0"
"121","25","1","0","0","0","0","0","0","0","9","0"
"122","25","1","0","0","0","0","0","0","0","14","0"
"123","25","1","0","0","0","0","0","0","0","13","0"
"124","25","1","0","0","0","0","0","0","0","12","0"
"125","1","1","0","0","0","0","0","0","0","10","0"
"126","1","1","0","0","0","0","0","0","0","4","0"
"127","1","2","0","0","0","0","0","0","0","16","0"
"128","1","1","0","0","0","0","0","0","0","11","0"
"129","1","1","0","0","0","0","0","0","0","7","0"
"130","1","1","0","0","0","0","0","0","0","9","0"
"131","1","1","0","0","0","0","0","0","0","14","0"
"132","1","1","0","0","0","0","0","0","0","13","0"
"133","1","0","0","0","0","0","0","0","0","12","0"
